# Annotated with Bakta
# Software: v1.9.4
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
ptg000001l	cds	30189	30377	+	IIKNCJ_00155		ATPase	RefSeq:WP_000921494.1, SO:0001217, UniParc:UPI0001B3AA42, UniRef:UniRef100_A0A1B1UXQ2, UniRef:UniRef50_A0A1B1UXQ2, UniRef:UniRef90_A0A1B1UXQ2
ptg000001l	cds	30381	32105	+	IIKNCJ_00160	ltrC	LtrC	RefSeq:WP_000331763.1, SO:0001217, UniParc:UPI00000BE09D, UniRef:UniRef100_A0A1B1UXU0, UniRef:UniRef50_A0A0K0ME11, UniRef:UniRef90_A0A0K0ME11
ptg000001l	cds	32146	32862	-	IIKNCJ_00165		hypothetical protein	RefSeq:WP_015445997.1, SO:0001217, UniParc:UPI00028B0DA2, UniRef:UniRef100_UPI00028B0DA2, UniRef:UniRef50_UPI00028B0DA2, UniRef:UniRef90_UPI00028B0DA2
ptg000001l	cds	33233	34144	-	IIKNCJ_00170	oriT	OriT nickase	RefSeq:WP_011443608.1, SO:0001217, UniParc:UPI0000696D09, UniRef:UniRef100_A0A0H2XIT9, UniRef:UniRef50_A0A0H2XIT9, UniRef:UniRef90_A0A0H2XIT9
ptg000001l	cds	34348	34620	+	IIKNCJ_00175	rmuC	Recombination protein RmuC	RefSeq:WP_000763628.1, SO:0001217, UniParc:UPI00000B6E79, UniRef:UniRef100_A0A1B1UXV1, UniRef:UniRef50_A0A848F015, UniRef:UniRef90_A0A1B1UXT5
ptg000001l	cds	34724	34957	+	IIKNCJ_00180		Transmembrane protein	RefSeq:WP_000602211.1, SO:0001217, UniParc:UPI00000B9F71, UniRef:UniRef100_A0A1B1UXU3, UniRef:UniRef50_A0A0D4ZYW3, UniRef:UniRef90_A0A0D4ZYW3
ptg000001l	cds	35220	36260	+	IIKNCJ_00185		ALP-N domain-containing protein	RefSeq:WP_000073389.1, SO:0001217, UniParc:UPI00000B743A, UniRef:UniRef100_A0A1B1UXT1, UniRef:UniRef50_D2J647, UniRef:UniRef90_D2J647
ptg000001l	cds	36263	36592	+	IIKNCJ_00190		DNA-binding protein	RefSeq:WP_000358311.1, SO:0001217, UniParc:UPI00000BEB9A, UniRef:UniRef100_A0A1B1UXS0, UniRef:UniRef50_A0A141BHY3, UniRef:UniRef90_A0A141BHY3
ptg000001l	cds	36596	36856	-	IIKNCJ_00195		HTH cro/C1-type domain-containing protein	RefSeq:WP_001008213.1, SO:0001217, UniParc:UPI00000B0BBB, UniRef:UniRef100_A0A1B1UXU2, UniRef:UniRef50_D2KNZ2, UniRef:UniRef90_D2KNZ2
ptg000002l	cds	188	325	+	IIKNCJ_00200	rpmH	50S ribosomal protein L34	COG:COG0230, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:1990904, KEGG:K02914, RefSeq:WP_000240855.1, SO:0001217, UniParc:UPI0000133FD1, UniRef:UniRef100_A7X7B0, UniRef:UniRef50_Q9RSH2, UniRef:UniRef90_B1HPM8
ptg000002l	cds	452	799	+	IIKNCJ_00205	rnpA	ribonuclease P protein component	COG:COG0594, COG:J, EC:3.1.26.5, GO:0000049, GO:0001682, GO:0004526, KEGG:K03536, RefSeq:WP_000409682.1, SO:0001217, UniParc:UPI0000134441, UniRef:UniRef100_A7X7A9, UniRef:UniRef50_B9E8Z6, UniRef:UniRef90_A6U596
ptg000002l	cds	938	2317	+	IIKNCJ_00210	mnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	COG:COG0486, COG:J, EC:3.6.-.-, GO:0002098, GO:0003924, GO:0005525, GO:0005737, GO:0005829, GO:0030488, GO:0046872, RefSeq:WP_000362503.1, SO:0001217, UniParc:UPI00004B5D33, UniRef:UniRef100_Q2FDE8, UniRef:UniRef50_Q49UI4, UniRef:UniRef90_Q2FDE8
ptg000002l	cds	2384	4261	+	IIKNCJ_00215	mnmG	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	COG:COG0445, COG:J, GO:0002098, GO:0005737, GO:0050660, RefSeq:WP_000249662.1, SO:0001217, UniParc:UPI000005228D, UniRef:UniRef100_Q2FDE9, UniRef:UniRef50_Q8Y3M5, UniRef:UniRef90_Q2FDE9
ptg000002l	cds	4261	4980	+	IIKNCJ_00220	rsmG	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	COG:COG0357, COG:J, EC:2.1.1.-, GO:0005737, GO:0070043, RefSeq:WP_000215595.1, SO:0001217, UniParc:UPI0000054985, UniRef:UniRef100_Q2FDF0, UniRef:UniRef50_Q49UI6, UniRef:UniRef90_Q2FDF0
ptg000002l	cds	5023	5862	+	IIKNCJ_00225	noc	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	COG:COG1475, COG:D, RefSeq:WP_000742837.1, SO:0001217, UniParc:UPI0000054984, UniRef:UniRef100_A0A0D1FYD1, UniRef:UniRef50_B9E8Z1, UniRef:UniRef90_G5JF93
ptg000002l	cds	6315	6668	+	IIKNCJ_00230		DUF3147 domain-containing protein	RefSeq:WP_000491382.1, SO:0001217, UniParc:UPI00000D771D, UniRef:UniRef100_A0A0E0VTP0, UniRef:UniRef50_B9DL48, UniRef:UniRef90_A0A7U8FB21
ptg000002l	cds	6736	7131	+	IIKNCJ_00235		DUF3147 domain-containing protein	RefSeq:WP_000779136.1, SO:0001217, UniParc:UPI0000054982, UniRef:UniRef100_A0A2B7W1G1, UniRef:UniRef50_B9DL49, UniRef:UniRef90_A0A7Z1SDY6
ptg000002l	cds	7391	7960	+	IIKNCJ_00240	xRE	DNA-binding transcriptional regulator, XRE-family HTH domain	COG:COG1476, COG:K, RefSeq:WP_001054118.1, SO:0001217, UniParc:UPI00000DA05D, UniRef:UniRef100_A0A0D6GNR0, UniRef:UniRef50_A0A0H2VIN2, UniRef:UniRef90_A0A7U7IFL4
ptg000002l	cds	8087	8287	-	IIKNCJ_00245	cspC	Cold shock protein, CspA family	COG:COG1278, COG:K, RefSeq:WP_001059079.1, SO:0001217, UniParc:UPI00000D77A7, UniRef:UniRef100_A0A7H9C7H4, UniRef:UniRef50_P0A363, UniRef:UniRef90_G5JIJ0
ptg000002l	cds	8680	8871	-	IIKNCJ_00250	vraH	peptide resistance ABC transporter activity modulator VraH	BlastRules:WP_000672038, RefSeq:WP_000672039.1, SO:0001217, UniParc:UPI000005497E, UniRef:UniRef100_X5E1M5, UniRef:UniRef50_C5QPA9, UniRef:UniRef90_A0A2S6DUG2
ptg000002l	cds	9329	9826	+	IIKNCJ_00255		Phage tail protein	RefSeq:WP_000586232.1, SO:0001217, UniParc:UPI000005497B, UniRef:UniRef100_A0A7U9P2M7, UniRef:UniRef50_A0A512QCY7, UniRef:UniRef90_A0A7U9P2M7
ptg000002l	cds	9886	10422	-	IIKNCJ_00260		IS30 family transposase	RefSeq:WP_001549881.1, SO:0001217, UniParc:UPI00004B5D30, UniRef:UniRef100_A0A7U9P2R9, UniRef:UniRef50_A0A380END2, UniRef:UniRef90_A0A380END2
ptg000002l	cds	10434	10625	-	IIKNCJ_00265	vraH	peptide resistance ABC transporter activity modulator VraH	BlastRules:WP_000672038, RefSeq:WP_000672038.1, SO:0001217, UniParc:UPI0000054979, UniRef:UniRef100_A0A1M3SJC8, UniRef:UniRef50_C5QPA9, UniRef:UniRef90_A0A2S6DUG2
ptg000002l	cds	10718	12598	-	IIKNCJ_00270	vraE	peptide resistance ABC transporter permease subunit VraE	BlastRules:WP_000143649, RefSeq:WP_000143642.1, SO:0001217, UniParc:UPI00004B5D2F, UniRef:UniRef100_A0A0E7PD33, UniRef:UniRef50_Q9KWJ6, UniRef:UniRef90_Q9KWJ6
ptg000002l	cds	12588	13346	-	IIKNCJ_00275	vraD	peptide resistance ABC transporter ATP-binding subunit VraD	BlastRules:WP_000154162, COG:COG1136, COG:M, RefSeq:WP_000154162.1, SO:0001217, UniParc:UPI0000054977, UniRef:UniRef100_Q9RL74, UniRef:UniRef50_O34697, UniRef:UniRef90_Q9RL74
ptg000002l	cds	13629	14141	+	IIKNCJ_00280	hdeD	DUF308 domain-containing protein	COG:COG3247, COG:R, RefSeq:WP_000410771.1, SO:0001217, UniParc:UPI00004B5D2E, UniRef:UniRef100_A0A0D6GNV3, UniRef:UniRef50_A0A133Q573, UniRef:UniRef90_A0A0E1XCZ4
ptg000002l	cds	14275	15069	-	IIKNCJ_00285	nhoA	Arylamine N-acetyltransferase	COG:COG2162, COG:Q, RefSeq:WP_001017423.1, SO:0001217, UniParc:UPI00004B5D2D, UniRef:UniRef100_A0A7U9J4Q4, UniRef:UniRef50_T1YD62, UniRef:UniRef90_T1YD62
ptg000002l	cds	15312	16328	-	IIKNCJ_00290	nixA	Nickel transporter NixA	COG:COG3376, COG:P, GO:0005886, GO:0015099, KEGG:K07241, RefSeq:WP_000215642.1, SO:0001217, UniParc:UPI0000696CFA, UniRef:UniRef100_Q2FUR9, UniRef:UniRef50_Q2FUR9, UniRef:UniRef90_Q2FUR9
ptg000002l	cds	16493	17068	-	IIKNCJ_00295		DNA-binding protein	RefSeq:WP_000174578.1, SO:0001217, UniParc:UPI0000054973, UniRef:UniRef100_A0A0D6GN06, UniRef:UniRef50_A0A8S7HIZ4, UniRef:UniRef90_A0A8S7HIZ4
ptg000002l	cds	17293	18201	+	IIKNCJ_00300	rarD	EamA family transporter RarD	COG:COG2962, COG:R, RefSeq:WP_001083804.1, SO:0001217, UniParc:UPI00004B5D2C, UniRef:UniRef100_A0A0D6GMA3, UniRef:UniRef50_B9E9V3, UniRef:UniRef90_A0A131JSA9
ptg000002l	cds	18614	20032	-	IIKNCJ_00305	citT	Di- and tricarboxylate antiporter	COG:COG0471, COG:G, KEGG:K03319, RefSeq:WP_000432356.1, SO:0001217, UniParc:UPI00000522E4, UniRef:UniRef100_Q7WS31, UniRef:UniRef50_Q7WS31, UniRef:UniRef90_Q7WS31
ptg000002l	cds	20270	20734	-	IIKNCJ_00310	bstA	bacillithiol transferase BstA	BlastRules:WP_000208915, BlastRules:WP_003243944, RefSeq:WP_000208915.1, SO:0001217, UniParc:UPI00004B5D2B, UniRef:UniRef100_A0A2C9TMM3, UniRef:UniRef50_C5QNU2, UniRef:UniRef90_A0A2C9TMM3
ptg000002l	cds	20901	21239	+	IIKNCJ_00315	padR	DNA-binding transcriptional regulator, PadR family	COG:COG1695, COG:K, RefSeq:WP_000116417.1, SO:0001217, UniParc:UPI00004B5D2A, UniRef:UniRef100_A0A0D3QB96, UniRef:UniRef50_B9DKK2, UniRef:UniRef90_A0A0D3QB96
ptg000002l	cds	21229	21996	+	IIKNCJ_00320		DUF1129 domain-containing protein	RefSeq:WP_000949560.1, SO:0001217, UniParc:UPI00004B5D29, UniRef:UniRef100_A0A0D6GP72, UniRef:UniRef50_A0A2K4AP24, UniRef:UniRef90_A0A7U7JRQ9
ptg000002l	cds	22115	22753	-	IIKNCJ_00325	pcp	pyroglutamyl-peptidase I	COG:COG2039, COG:O, EC:3.4.19.3, GO:0005829, GO:0006508, GO:0016920, RefSeq:WP_000547833.1, SO:0001217, UniParc:UPI000005496D, UniRef:UniRef100_Q2FDH1, UniRef:UniRef50_Q53596, UniRef:UniRef90_Q53596
ptg000002l	cds	22905	23861	-	IIKNCJ_00330	trhO	rhodanese-related sulfurtransferase	COG:COG1054, COG:J, EC:1.14.-.-, GO:0006400, GO:0016705, RefSeq:WP_001109273.1, SO:0001217, UniParc:UPI000005496C, UniRef:UniRef100_Q2FDH2, UniRef:UniRef50_Q6YRD0, UniRef:UniRef90_Q6GDB5
ptg000002l	cds	24102	25076	+	IIKNCJ_00335	drp35	Lactonase drp35	COG:COG3386, COG:G, EC:3.1.1.-, GO:0005737, GO:0016787, GO:0046872, SO:0001217, UniParc:UPI00000CAC56, UniRef:UniRef100_Q2FDH3, UniRef:UniRef50_Q9S0S3, UniRef:UniRef90_Q9S0S3
ptg000002l	cds	25225	25740	-	IIKNCJ_00340	yceI	UPF0312 protein MW2606	COG:COG2353, COG:R, RefSeq:WP_000181129.1, SO:0001217, UniParc:UPI000005496A, UniRef:UniRef100_Q2FDH4, UniRef:UniRef50_Q7A339, UniRef:UniRef90_Q7A339
ptg000002l	cds	26120	26968	+	IIKNCJ_00345		Stereoselective (R,S)-S-adenosylmethionine hydrolase (adenosine-forming)	COG:COG1912, COG:HV, RefSeq:WP_000528923.1, SO:0001217, UniParc:UPI0000054968, UniRef:UniRef100_A0A0D3QB57, UniRef:UniRef50_A0A0D3QB57, UniRef:UniRef90_A0A0D3QB57
ptg000002l	cds	26997	27551	+	IIKNCJ_00350	eCF-S	ECF-type riboflavin transporter substrate-binding protein	COG:COG4720, COG:H, GO:0005886, RefSeq:WP_000743717.1, SO:0001217, UniParc:UPI00004B5D26, UniRef:UniRef100_A6QKH3, UniRef:UniRef50_Q832R4, UniRef:UniRef90_Q7A341
ptg000002l	cds	27604	29316	+	IIKNCJ_00355	gsiA	energy-coupling factor transporter ATPase	COG:COG1123, COG:O, EC:7.-.-.-, GO:0005524, GO:0005886, GO:0022857, RefSeq:WP_000138648.1, SO:0001217, UniParc:UPI0000696CF9, UniRef:UniRef100_A0A0E8I7J5, UniRef:UniRef50_Q7A342, UniRef:UniRef90_Q7A342
ptg000002l	cds	29313	30146	+	IIKNCJ_00360	ecfT	ECF-type transporter transmembrane protein EcfT	COG:COG0619, COG:H, RefSeq:WP_001077826.1, SO:0001217, UniParc:UPI0000054965, UniRef:UniRef100_A0A2C9TW53, UniRef:UniRef50_A0A3A1Y5V0, UniRef:UniRef90_A0A2C9TW53
ptg000002l	cds	30193	30690	+	IIKNCJ_00365	rimL	Protein N-acetyltransferase, RimJ/RimL family	COG:COG1670, COG:JO, RefSeq:WP_000610978.1, SO:0001217, UniParc:UPI0000054964, UniRef:UniRef100_A0A2C9TMJ2, UniRef:UniRef50_A0A7U7JRW0, UniRef:UniRef90_A0A7U8SD90
ptg000002l	cds	30808	31932	+	IIKNCJ_00370		NodB-like y domain-containing protein	RefSeq:WP_000549223.1, SO:0001217, UniParc:UPI0000054963, UniRef:UniRef100_X5ELQ6, UniRef:UniRef50_A0A178PDB7, UniRef:UniRef90_A0A8E0DG54
ptg000002l	cds	32237	33055	+	IIKNCJ_00375	hisZ	ATP phosphoribosyltransferase regulatory subunit	COG:COG3705, COG:E, GO:0000105, GO:0005737, GO:0016740, RefSeq:WP_001065590.1, SO:0001217, UniParc:UPI00004B5D24, UniRef:UniRef100_Q2FDI1, UniRef:UniRef50_Q8CTV2, UniRef:UniRef90_Q6GDC4
ptg000002l	cds	33073	33687	+	IIKNCJ_00380	hisG	ATP phosphoribosyltransferase	COG:COG0040, COG:E, EC:2.4.2.17, GO:0000105, GO:0003879, GO:0005524, GO:0005737, RefSeq:WP_000944150.1, SO:0001217, UniParc:UPI0000696CF8, UniRef:UniRef100_Q2FDI2, UniRef:UniRef50_Q4A043, UniRef:UniRef90_Q6GDC5
ptg000002l	cds	33680	34930	+	IIKNCJ_00385	hisD	histidinol dehydrogenase	COG:COG0141, COG:E, EC:1.1.1.23, GO:0000105, GO:0004399, GO:0008270, GO:0051287, RefSeq:WP_000930643.1, SO:0001217, UniParc:UPI0000696CF7, UniRef:UniRef100_Q5HCL9, UniRef:UniRef50_Q8CQ95, UniRef:UniRef90_Q5HCL9
ptg000002l	cds	34946	35959	+	IIKNCJ_00390	hisC	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	COG:COG0079, COG:E, RefSeq:WP_000639183.1, SO:0001217, UniParc:UPI000005495F, UniRef:UniRef100_A0A0D6GN51, UniRef:UniRef50_A0A7Z7VWW1, UniRef:UniRef90_A0A0Z2MIW7
ptg000002l	cds	35928	36506	+	IIKNCJ_00395	hisB	imidazoleglycerol-phosphate dehydratase HisB	COG:COG0131, COG:E, EC:4.2.1.19, GO:0000105, GO:0004424, GO:0005737, RefSeq:WP_000640266.1, SO:0001217, UniParc:UPI000012C871, UniRef:UniRef100_A7X766, UniRef:UniRef50_Q4A046, UniRef:UniRef90_Q6GDC8
ptg000002l	cds	36503	37081	+	IIKNCJ_00400	hisH	imidazole glycerol phosphate synthase subunit HisH	COG:COG0118, COG:E, EC:4.3.2.10, GO:0000105, GO:0000107, GO:0004359, GO:0005737, GO:0006541, GO:0016829, RefSeq:WP_000635623.1, SO:0001217, UniParc:UPI000005495C, UniRef:UniRef100_Q5HCM2, UniRef:UniRef50_Q4A047, UniRef:UniRef90_Q5HCM2
ptg000002l	cds	37074	37778	+	IIKNCJ_00405	hisA	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	COG:COG0106, COG:E, EC:5.3.1.16, GO:0000105, GO:0003949, GO:0005737, RefSeq:WP_000571736.1, SO:0001217, UniParc:UPI000005495B, UniRef:UniRef100_Q2FDI7, UniRef:UniRef50_Q4A048, UniRef:UniRef90_Q2FDI7
ptg000002l	cds	37775	38533	+	IIKNCJ_00410	hisF	Imidazole glycerol phosphate synthase subunit HisF	COG:COG0107, COG:E, EC:4.3.2.10, GO:0000105, GO:0000107, GO:0005737, GO:0016829, SO:0001217, UniParc:UPI000012C83B, UniRef:UniRef100_Q2FDI8, UniRef:UniRef50_O27398, UniRef:UniRef90_Q2FDI8
ptg000002l	cds	38530	39162	+	IIKNCJ_00415	hisIE	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	EC:3.5.4.19, EC:3.6.1.31, GO:0000105, GO:0004635, GO:0004636, GO:0005524, GO:0005737, KEGG:K11755, RefSeq:WP_000170492.1, SO:0001217, UniParc:UPI0000696CF6, UniRef:UniRef100_Q2FUU3, UniRef:UniRef50_P64355, UniRef:UniRef90_P64355
ptg000002l	cds	40252	42297	+	IIKNCJ_00420	lip1	YSIRK domain-containing triacylglycerol lipase Lip1	BlastRules:WP_000842036, COG:COG1075, COG:I, EC:3.1.1.3, GO:0004806, GO:0005576, GO:0016042, GO:0046872, SO:0001217, UniParc:UPI00000DA04A, UniRef:UniRef100_Q2FUU5, UniRef:UniRef50_P0C0R3, UniRef:UniRef90_P65288
